path,before_bytes,after_bytes,saved_bytes,saved_pct,action,qpos, qnorm, qtex, timestamp
/home/tuantd/workspace/anki_ar/data/sport/climbing.glb,3969896,3510780,459116,11,replaced,14,10,12,2025-11-04T20:57:45+0700
/home/tuantd/workspace/anki_ar/data/sport/volleyball.glb,13585424,7631204,5954220,43,replaced,14,10,12,2025-11-04T20:57:50+0700
/home/tuantd/workspace/anki_ar/data/sport/referee.glb,6001920,5689740,312180,5,replaced,14,10,12,2025-11-04T20:57:52+0700
/home/tuantd/workspace/anki_ar/data/sport/marathon.glb,6240472,5922660,317812,5,replaced,14,10,12,2025-11-04T20:57:55+0700
/home/tuantd/workspace/anki_ar/data/science/scientist.glb,21575748,8679224,12896524,59,replaced,14,10,12,2025-11-04T20:58:02+0700
/home/tuantd/workspace/anki_ar/data/science/atom.glb,13937416,6932176,7005240,50,replaced,14,10,12,2025-11-04T20:58:06+0700
/home/tuantd/workspace/anki_ar/data/science/discovery.glb,22585216,9862444,12722772,56,replaced,14,10,12,2025-11-04T20:58:12+0700
/home/tuantd/workspace/anki_ar/data/science/laboratory.glb,23950556,10374976,13575580,56,replaced,14,10,12,2025-11-04T20:58:19+0700
/home/tuantd/workspace/anki_ar/data/science/experiment.glb,20275740,9732168,10543572,52,replaced,14,10,12,2025-11-04T20:58:24+0700
/home/tuantd/workspace/anki_ar/data/science/space.glb,19785880,8918708,10867172,54,replaced,14,10,12,2025-11-04T20:58:30+0700
/home/tuantd/workspace/anki_ar/data/science/research.glb,21639576,8221328,13418248,62,replaced,14,10,12,2025-11-04T20:58:37+0700
/home/tuantd/workspace/anki_ar/data/science/theory.glb,16307600,8706220,7601380,46,replaced,14,10,12,2025-11-04T20:58:42+0700
/home/tuantd/workspace/anki_ar/data/science/invention.glb,26907300,10896380,16010920,59,replaced,14,10,12,2025-11-04T20:58:49+0700
/home/tuantd/workspace/anki_ar/data/science/energy.glb,35678484,13173812,22504672,63,replaced,14,10,12,2025-11-04T20:58:58+0700
/home/tuantd/workspace/anki_ar/data/travel/ticket.glb,12100716,6126296,5974420,49,replaced,14,10,12,2025-11-04T20:59:03+0700
/home/tuantd/workspace/anki_ar/data/travel/souvenir.glb,17203100,7861356,9341744,54,replaced,14,10,12,2025-11-04T20:59:08+0700
/home/tuantd/workspace/anki_ar/data/travel/hotel.glb,34836012,12813900,22022112,63,replaced,14,10,12,2025-11-04T20:59:16+0700
/home/tuantd/workspace/anki_ar/data/travel/tour.glb,26327164,11615576,14711588,55,replaced,14,10,12,2025-11-04T20:59:23+0700
/home/tuantd/workspace/anki_ar/data/travel/beach.glb,17377528,7237868,10139660,58,replaced,14,10,12,2025-11-04T20:59:28+0700
/home/tuantd/workspace/anki_ar/data/travel/map.glb,19632272,8348312,11283960,57,replaced,14,10,12,2025-11-04T20:59:34+0700
/home/tuantd/workspace/anki_ar/data/travel/luggage.glb,15926508,7770004,8156504,51,replaced,14,10,12,2025-11-04T20:59:39+0700
/home/tuantd/workspace/anki_ar/data/travel/passport.glb,13138716,6607080,6531636,49,replaced,14,10,12,2025-11-04T20:59:44+0700
/home/tuantd/workspace/anki_ar/data/technology/computer.glb,16095160,6189700,9905460,61,replaced,14,10,12,2025-11-04T20:59:49+0700
/home/tuantd/workspace/anki_ar/data/technology/phone.glb,10598040,5322552,5275488,49,replaced,14,10,12,2025-11-04T20:59:53+0700
/home/tuantd/workspace/anki_ar/data/technology/laptop.glb,18245944,6643140,11602804,63,replaced,14,10,12,2025-11-04T20:59:59+0700
/home/tuantd/workspace/anki_ar/data/technology/website.glb,12462068,5294380,7167688,57,replaced,14,10,12,2025-11-04T21:00:03+0700
/home/tuantd/workspace/anki_ar/data/technology/keyboard.glb,19419220,9260048,10159172,52,replaced,14,10,12,2025-11-04T21:00:08+0700
/home/tuantd/workspace/anki_ar/data/technology/mouse.glb,11049944,5182692,5867252,53,replaced,14,10,12,2025-11-04T21:00:12+0700
/home/tuantd/workspace/anki_ar/data/technology/email.glb,12526504,5889360,6637144,52,replaced,14,10,12,2025-11-04T21:00:16+0700
/home/tuantd/workspace/anki_ar/data/technology/screen.glb,13888924,5470424,8418500,60,replaced,14,10,12,2025-11-04T21:00:21+0700
/home/tuantd/workspace/anki_ar/data/job/politician.glb,6331176,6005288,325888,5,replaced,14,10,12,2025-11-04T21:00:24+0700
/home/tuantd/workspace/anki_ar/data/job/office_staff.glb,6919264,6591012,328252,4,replaced,14,10,12,2025-11-04T21:00:28+0700
/home/tuantd/workspace/anki_ar/data/job/dancer.glb,4132448,3732116,400332,9,replaced,14,10,12,2025-11-04T21:00:31+0700
/home/tuantd/workspace/anki_ar/data/job/doctor.glb,14633232,7136940,7496292,51,replaced,14,10,12,2025-11-04T21:00:36+0700
/home/tuantd/workspace/anki_ar/data/job/student.glb,7019096,6687012,332084,4,replaced,14,10,12,2025-11-04T21:00:40+0700
/home/tuantd/workspace/anki_ar/data/job/worker.glb,7137560,6824944,312616,4,replaced,14,10,12,2025-11-04T21:00:43+0700
/home/tuantd/workspace/anki_ar/data/hobbies/movie.glb,14540676,9363184,5177492,35,replaced,14,10,12,2025-11-04T21:00:47+0700
/home/tuantd/workspace/anki_ar/data/hobbies/art.glb,21726680,9047668,12679012,58,replaced,14,10,12,2025-11-04T21:00:54+0700
/home/tuantd/workspace/anki_ar/data/hobbies/hobby.glb,19438612,9450892,9987720,51,replaced,14,10,12,2025-11-04T21:00:59+0700
/home/tuantd/workspace/anki_ar/data/hobbies/game.glb,17731192,7461876,10269316,57,replaced,14,10,12,2025-11-04T21:01:05+0700
/home/tuantd/workspace/anki_ar/data/hobbies/music.glb,18336616,9707688,8628928,47,replaced,14,10,12,2025-11-04T21:01:10+0700
/home/tuantd/workspace/anki_ar/data/hobbies/sport.glb,19881424,8827320,11054104,55,replaced,14,10,12,2025-11-04T21:01:16+0700
/home/tuantd/workspace/anki_ar/data/hobbies/photo.glb,11090816,6727408,4363408,39,replaced,14,10,12,2025-11-04T21:01:20+0700
/home/tuantd/workspace/anki_ar/data/hobbies/book.glb,14845488,7165344,7680144,51,replaced,14,10,12,2025-11-04T21:01:24+0700
/home/tuantd/workspace/anki_ar/data/hobbies/travel.glb,23978000,9144972,14833028,61,replaced,14,10,12,2025-11-04T21:01:29+0700
/home/tuantd/workspace/anki_ar/data/hobbies/music_band.glb,18559480,9377032,9182448,49,replaced,14,10,12,2025-11-04T21:01:34+0700
/home/tuantd/workspace/anki_ar/data/furniture/window.glb,9389820,8995388,394432,4,replaced,14,10,12,2025-11-04T21:01:37+0700
/home/tuantd/workspace/anki_ar/data/furniture/table.glb,5811816,5451344,360472,6,replaced,14,10,12,2025-11-04T21:01:40+0700
/home/tuantd/workspace/anki_ar/data/furniture/bathroom.glb,5424264,5026608,397656,7,replaced,14,10,12,2025-11-04T21:01:43+0700
/home/tuantd/workspace/anki_ar/data/furniture/door.glb,6855292,6469136,386156,5,replaced,14,10,12,2025-11-04T21:01:45+0700
/home/tuantd/workspace/anki_ar/data/furniture/lamp.glb,6098964,5762472,336492,5,replaced,14,10,12,2025-11-04T21:01:48+0700
/home/tuantd/workspace/anki_ar/data/furniture/chair.glb,6516956,6172196,344760,5,replaced,14,10,12,2025-11-04T21:01:51+0700
/home/tuantd/workspace/anki_ar/data/furniture/kitchen.glb,6287000,5904224,382776,6,replaced,14,10,12,2025-11-04T21:01:54+0700
/home/tuantd/workspace/anki_ar/data/transportation/train.glb,8248004,7873240,374764,4,replaced,14,10,12,2025-11-04T21:01:57+0700
/home/tuantd/workspace/anki_ar/data/transportation/bus.glb,9645044,9296984,348060,3,replaced,14,10,12,2025-11-04T21:02:00+0700
/home/tuantd/workspace/anki_ar/data/transportation/taxi.glb,8637480,8303280,334200,3,replaced,14,10,12,2025-11-04T21:02:04+0700
/home/tuantd/workspace/anki_ar/data/transportation/helicopter.glb,8079880,7743156,336724,4,replaced,14,10,12,2025-11-04T21:02:07+0700
/home/tuantd/workspace/anki_ar/data/transportation/car.glb,6723976,6394032,329944,4,replaced,14,10,12,2025-11-04T21:02:11+0700
/home/tuantd/workspace/anki_ar/data/food/milk.glb,5527876,5212436,315440,5,replaced,14,10,12,2025-11-04T21:02:14+0700
/home/tuantd/workspace/anki_ar/data/food/rice.glb,10871956,10554728,317228,2,replaced,14,10,12,2025-11-04T21:02:17+0700
/home/tuantd/workspace/anki_ar/data/food/water.glb,5374836,5053380,321456,5,replaced,14,10,12,2025-11-04T21:02:20+0700
/home/tuantd/workspace/anki_ar/data/food/fruits.glb,9898112,9559884,338228,3,replaced,14,10,12,2025-11-04T21:02:23+0700
/home/tuantd/workspace/anki_ar/data/politics/president.glb,18145040,7284188,10860852,59,replaced,14,10,12,2025-11-04T21:02:29+0700
/home/tuantd/workspace/anki_ar/data/politics/goverment.glb,24845080,8364720,16480360,66,replaced,14,10,12,2025-11-04T21:02:35+0700
/home/tuantd/workspace/anki_ar/data/politics/election.glb,14096464,7218516,6877948,48,replaced,14,10,12,2025-11-04T21:02:40+0700
/home/tuantd/workspace/anki_ar/data/politics/minister.glb,19394032,8014204,11379828,58,replaced,14,10,12,2025-11-04T21:02:46+0700
/home/tuantd/workspace/anki_ar/data/politics/vote.glb,14843148,7429464,7413684,49,replaced,14,10,12,2025-11-04T21:02:51+0700
/home/tuantd/workspace/anki_ar/data/politics/law.glb,18704372,9122820,9581552,51,replaced,14,10,12,2025-11-04T21:02:56+0700
/home/tuantd/workspace/anki_ar/data/politics/country.glb,18255396,7939064,10316332,56,replaced,14,10,12,2025-11-04T21:03:02+0700
/home/tuantd/workspace/anki_ar/data/politics/citizen.glb,31642488,11239032,20403456,64,replaced,14,10,12,2025-11-04T21:03:08+0700
/home/tuantd/workspace/anki_ar/data/clothes/skirt.glb,27271284,9028344,18242940,66,replaced,14,10,12,2025-11-04T21:03:14+0700
/home/tuantd/workspace/anki_ar/data/clothes/hat.glb,23891020,8591224,15299796,64,replaced,14,10,12,2025-11-04T21:03:19+0700
/home/tuantd/workspace/anki_ar/data/clothes/pants.glb,19734804,8873708,10861096,55,replaced,14,10,12,2025-11-04T21:03:24+0700
/home/tuantd/workspace/anki_ar/data/clothes/shoes.glb,28529636,10541252,17988384,63,replaced,14,10,12,2025-11-04T21:03:29+0700
/home/tuantd/workspace/anki_ar/data/clothes/dress.glb,27629620,8948836,18680784,67,replaced,14,10,12,2025-11-04T21:03:35+0700
/home/tuantd/workspace/anki_ar/data/clothes/shirt.glb,18968952,6732864,12236088,64,replaced,14,10,12,2025-11-04T21:03:40+0700
